bc,N,kmean,clust,smean,wclust,dirname,filename,order,genus,species,interaction_type,population_type,division
-56.345977592243,5,2.4,0.6,3.6,0.270217062020228,baboon_association_weighted,baboon_franz_grooming_group_02,Primates,Papio,cynocephalus,grooming,free-ranging,old_world
3.88990747374661,23,3.04347826086957,0.227743271221532,4.78260869565217,0.070261641263926,baboon_association_weighted,baboon_franz_grooming_group_03,Primates,Papio,cynocephalus,grooming,free-ranging,old_world
-7.10340112965846,4,2,0.583333333333333,7.5,0.169862868143169,baboon_association_weighted,baboon_franz_grooming_group_04,Primates,Papio,cynocephalus,grooming,free-ranging,old_world
6.55440420980634,4,2.5,0.833333333333333,7.5,0.262508468105668,baboon_association_weighted,baboon_franz_grooming_group_05,Primates,Papio,cynocephalus,grooming,free-ranging,old_world
8.07165386879924,7,3.14285714285714,0.723809523809524,5.42857142857143,0.208488815853656,baboon_association_weighted,baboon_franz_grooming_group_06,Primates,Papio,cynocephalus,grooming,free-ranging,old_world
8.93150692748545,16,5.125,0.290922619047619,8.25,0.0732930941076063,baboon_association_weighted,baboon_franz_grooming_group_07,Primates,Papio,cynocephalus,grooming,free-ranging,old_world
2.91715555199331,12,2,0.125,2,0.125,baboon_association_weighted,baboon_franz_grooming_group_08,Primates,Papio,cynocephalus,grooming,free-ranging,old_world
2.30069661492362,11,1.81818181818182,0,2.18181818181818,0,baboon_association_weighted,baboon_franz_grooming_group_09,Primates,Papio,cynocephalus,grooming,free-ranging,old_world
12.5177042080513,13,4.61538461538462,0.415384615384615,7.53846153846154,0.123233459158634,baboon_association_weighted,baboon_franz_grooming_group_10,Primates,Papio,cynocephalus,grooming,free-ranging,old_world
5.49174502967518,12,2.83333333333333,0.158333333333333,4.33333333333333,0.0937809599491927,baboon_association_weighted,baboon_franz_grooming_group_11,Primates,Papio,cynocephalus,grooming,free-ranging,old_world
,2,1,0,1,0,baboon_association_weighted,baboon_franz_grooming_group_12,Primates,Papio,cynocephalus,grooming,free-ranging,old_world
2.66666666666667,4,1.5,0,2.5,0,baboon_association_weighted,baboon_franz_grooming_group_13,Primates,Papio,cynocephalus,grooming,free-ranging,old_world
9.455182374883,7,2.85714285714286,0.385714285714286,5.42857142857143,0.133826372921311,baboon_association_weighted,baboon_franz_grooming_group_14,Primates,Papio,cynocephalus,grooming,free-ranging,old_world
-24.7185653719936,6,3,0.722222222222222,4.33333333333333,0.514099823947499,baboon_association_weighted,baboon_franz_grooming_group_15,Primates,Papio,cynocephalus,grooming,free-ranging,old_world
3.21073276663178,6,1.66666666666667,0,2.33333333333333,0,baboon_association_weighted,baboon_franz_grooming_group_16,Primates,Papio,cynocephalus,grooming,free-ranging,old_world
3.43869306414593,7,2,0,2.57142857142857,0,baboon_association_weighted,baboon_franz_grooming_group_17,Primates,Papio,cynocephalus,grooming,free-ranging,old_world
2.74015071567946,9,1.77777777777778,0,3.55555555555556,0,baboon_association_weighted,baboon_franz_grooming_group_18,Primates,Papio,cynocephalus,grooming,free-ranging,old_world
4.93185265307149,11,2.54545454545455,0.348484848484848,3.45454545454545,0.142298562582378,baboon_association_weighted,baboon_franz_grooming_group_19,Primates,Papio,cynocephalus,grooming,free-ranging,old_world
4.01623201568688,13,3.23076923076923,0.38974358974359,6,0.100350227704146,baboon_association_weighted,baboon_franz_grooming_group_20,Primates,Papio,cynocephalus,grooming,free-ranging,old_world
-58.5558474473733,8,4.5,0.6875,12.5,0.277614389782135,baboon_association_weighted,baboon_franz_grooming_group_21,Primates,Papio,cynocephalus,grooming,free-ranging,old_world
4.43063616772482,8,2.5,0.5,3.25,0.166666666666667,baboon_association_weighted,baboon_franz_grooming_group_22,Primates,Papio,cynocephalus,grooming,free-ranging,old_world
3.75322020148346,18,2.55555555555556,0.125925925925926,3.22222222222222,0.0407254589848911,baboon_association_weighted,baboon_franz_grooming_group_23,Primates,Papio,cynocephalus,grooming,free-ranging,old_world
